date_key,date,year,month,month_name,iso_year,iso_week,iso_yearweek,week_start_date,store_code,store_name,orders,net_revenue,aov,units,asp,units_per_order
20220613,2022-06-13,2022,6,June,2022,24,202224,2022-06-13,RBN,Rabbona,3,494.98,164.99,3.000,164.99,1.00
20220613,2022-06-13,2022,6,June,2022,24,202224,2022-06-13,VIC,Victus,4,889.95,222.49,7.000,127.14,1.75
20220614,2022-06-14,2022,6,June,2022,24,202224,2022-06-13,NEB,Nebula,2,366.99,183.50,2.000,183.50,1.00
20220614,2022-06-14,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),3,399.98,133.33,3.000,133.33,1.00
20220614,2022-06-14,2022,6,June,2022,24,202224,2022-06-13,RBN,Rabbona,5,1026.96,205.39,7.000,146.71,1.40
20220614,2022-06-14,2022,6,June,2022,24,202224,2022-06-13,VIC,Victus,6,2301.87,383.65,15.000,153.46,2.50
20220615,2022-06-15,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),3,524.98,174.99,4.000,131.25,1.33
20220615,2022-06-15,2022,6,June,2022,24,202224,2022-06-13,RBN,Rabbona,2,353.98,176.99,4.000,88.50,2.00
20220615,2022-06-15,2022,6,June,2022,24,202224,2022-06-13,VIC,Victus,2,789.92,394.96,8.000,98.74,4.00
20220616,2022-06-16,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),2,349.98,174.99,2.000,174.99,1.00
20220616,2022-06-16,2022,6,June,2022,24,202224,2022-06-13,RBN,Rabbona,1,227.00,227.00,1.000,227.00,1.00
20220617,2022-06-17,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),1,407.99,407.99,2.000,204.00,2.00
20220617,2022-06-17,2022,6,June,2022,24,202224,2022-06-13,RBN,Rabbona,5,926.97,185.39,6.000,154.50,1.20
20220617,2022-06-17,2022,6,June,2022,24,202224,2022-06-13,VIC,Victus,2,452.00,226.00,2.000,226.00,1.00
20220618,2022-06-18,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),1,59.99,59.99,1.000,59.99,1.00
20220620,2022-06-20,2022,6,June,2022,25,202225,2022-06-20,NEB,Nebula,2,269.98,134.99,2.000,134.99,1.00
20220620,2022-06-20,2022,6,June,2022,25,202225,2022-06-20,RBN,Rabbona,2,185.00,92.50,3.000,61.67,1.50
20220621,2022-06-21,2022,6,June,2022,25,202225,2022-06-20,PA,Pasion Albiverde (Store),2,659.97,329.99,3.000,219.99,1.50
20220621,2022-06-21,2022,6,June,2022,25,202225,2022-06-20,VIC,Victus,1,394.98,394.98,3.000,131.66,3.00
20220622,2022-06-22,2022,6,June,2022,25,202225,2022-06-20,PA,Pasion Albiverde (Store),1,207.00,207.00,1.000,207.00,1.00
20220622,2022-06-22,2022,6,June,2022,25,202225,2022-06-20,RBN,Rabbona,2,511.98,255.99,4.000,128.00,2.00
20220622,2022-06-22,2022,6,June,2022,25,202225,2022-06-20,VIC,Victus,2,569.96,284.98,4.000,142.49,2.00
20220623,2022-06-23,2022,6,June,2022,25,202225,2022-06-20,PA,Pasion Albiverde (Store),4,947.96,236.99,7.000,135.42,1.75
20220623,2022-06-23,2022,6,June,2022,25,202225,2022-06-20,RBN,Rabbona,2,224.99,112.50,2.000,112.50,1.00
20220623,2022-06-23,2022,6,June,2022,25,202225,2022-06-20,VIC,Victus,3,623.96,207.99,6.000,103.99,2.00
20220624,2022-06-24,2022,6,June,2022,25,202225,2022-06-20,NEB,Nebula,1,299.98,299.98,2.000,149.99,2.00
20220624,2022-06-24,2022,6,June,2022,25,202225,2022-06-20,PA,Pasion Albiverde (Store),2,409.98,204.99,2.000,204.99,1.00
20220624,2022-06-24,2022,6,June,2022,25,202225,2022-06-20,RBN,Rabbona,3,654.95,218.32,6.000,109.16,2.00
20220624,2022-06-24,2022,6,June,2022,25,202225,2022-06-20,VIC,Victus,3,929.96,309.99,6.000,154.99,2.00
20220625,2022-06-25,2022,6,June,2022,25,202225,2022-06-20,PA,Pasion Albiverde (Store),2,236.99,118.50,2.000,118.50,1.00
20220625,2022-06-25,2022,6,June,2022,25,202225,2022-06-20,RBN,Rabbona,1,59.99,59.99,1.000,59.99,1.00
20220625,2022-06-25,2022,6,June,2022,25,202225,2022-06-20,VIC,Victus,1,265.00,265.00,1.000,265.00,1.00
20220627,2022-06-27,2022,6,June,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),4,842.96,210.74,6.000,140.49,1.50
20220627,2022-06-27,2022,6,June,2022,26,202226,2022-06-27,RBN,Rabbona,1,155.00,155.00,1.000,155.00,1.00
20220627,2022-06-27,2022,6,June,2022,26,202226,2022-06-27,VIC,Victus,5,969.93,193.99,7.000,138.56,1.40
20220628,2022-06-28,2022,6,June,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),1,839.97,839.97,3.000,279.99,3.00
20220628,2022-06-28,2022,6,June,2022,26,202226,2022-06-27,RBN,Rabbona,2,529.98,264.99,2.000,264.99,1.00
20220628,2022-06-28,2022,6,June,2022,26,202226,2022-06-27,VIC,Victus,6,1718.95,286.49,10.000,171.90,1.67
20220629,2022-06-29,2022,6,June,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),1,329.98,329.98,2.000,164.99,2.00
20220629,2022-06-29,2022,6,June,2022,26,202226,2022-06-27,RBN,Rabbona,1,269.99,269.99,1.000,269.99,1.00
20220629,2022-06-29,2022,6,June,2022,26,202226,2022-06-27,VIC,Victus,1,245.00,245.00,1.000,245.00,1.00
20220630,2022-06-30,2022,6,June,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),2,189.98,94.99,2.000,94.99,1.00
20220630,2022-06-30,2022,6,June,2022,26,202226,2022-06-27,RBN,Rabbona,1,147.00,147.00,1.000,147.00,1.00
20220630,2022-06-30,2022,6,June,2022,26,202226,2022-06-27,VIC,Victus,3,609.96,203.32,4.000,152.49,1.33
20220701,2022-07-01,2022,7,July,2022,26,202226,2022-06-27,NEB,Nebula,1,149.99,149.99,1.000,149.99,1.00
20220701,2022-07-01,2022,7,July,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),1,59.99,59.99,1.000,59.99,1.00
20220701,2022-07-01,2022,7,July,2022,26,202226,2022-06-27,RBN,Rabbona,4,691.97,172.99,5.000,138.39,1.25
20220701,2022-07-01,2022,7,July,2022,26,202226,2022-06-27,VIC,Victus,3,589.95,196.65,5.000,117.99,1.67
20220702,2022-07-02,2022,7,July,2022,26,202226,2022-06-27,NEB,Nebula,1,149.99,149.99,1.000,149.99,1.00
